AUC,AUPR,SPE,SEN,PRE,ACC,F1
0.72363564,0.710590448,0.475177305,0.818181818,0.60931677,0.646715328,0.698469206
0.72248674,0.702906525,0.404175365,0.854697286,0.589234312,0.629436326,0.697563469
0.726904633,0.704393342,0.512113617,0.811612364,0.62455802,0.661862991,0.705903724
0.726222021,0.704653421,0.495409015,0.831385643,0.62230553,0.663397329,0.711809898
0.725334151,0.710999733,0.464524207,0.843006263,0.611447608,0.653725736,0.708794102
0.720715229,0.705397833,0.437083333,0.838265944,0.59815586,0.63763284,0.698142684
0.724827445,0.704718211,0.490408674,0.8239466,0.617766656,0.657142857,0.706113693
0.715439738,0.704848334,0.51689612,0.80141844,0.623903865,0.65915728,0.701607012
0.72037469,0.700785287,0.492910759,0.819015847,0.617610063,0.655963303,0.704195052
0.724923437,0.715198521,0.305254379,0.907878283,0.566597294,0.606629143,0.69774147
0.717778406,0.695631372,0.466444352,0.822426011,0.606517061,0.644435181,0.698159943
0.722550418,0.70811761,0.387729549,0.870200334,0.586993243,0.628964942,0.701075992
0.727610463,0.709141642,0.475833333,0.832013339,0.613398894,0.653886226,0.706173713
0.729130431,0.716449812,0.442869058,0.85702376,0.606132075,0.649989577,0.710067346
0.701690274,0.67344646,0.443238731,0.828952858,0.598313761,0.636136032,0.694998251
0.716727505,0.703470738,0.526271893,0.782644973,0.622841965,0.6544317,0.693658717
0.717550161,0.701004205,0.48999166,0.811588162,0.614195584,0.650823431,0.699227869
0.731736525,0.710441828,0.523590814,0.805427975,0.628338762,0.664509395,0.705946935
0.719294807,0.697022272,0.507923269,0.805926544,0.620700739,0.656862745,0.701289268
0.718819204,0.689308443,0.471446436,0.827011255,0.610086101,0.649228845,0.702176606
0.714476304,0.698772381,0.3639399,0.878547579,0.5800496,0.62124374,0.698755187
0.708392315,0.681358912,0.417431193,0.847789825,0.59271137,0.632610509,0.697666438
0.717791621,0.695738729,0.378389654,0.869837297,0.583216783,0.624113475,0.69825854
0.722486751,0.704145648,0.361853088,0.8860601,0.581325301,0.623956594,0.702050265
0.730000282,0.720398105,0.407592824,0.859049208,0.591954023,0.633368092,0.70091868
0.732370767,0.709880789,0.577694236,0.776617954,0.647857889,0.677176864,0.706418534
0.722071097,0.706587342,0.504170142,0.812265332,0.620854592,0.65818561,0.703777336
0.715118796,0.696601446,0.534864301,0.783388982,0.627549315,0.659152578,0.696862818
